project,run_id,run_name,step,metric,value
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1300,stats/keep_prob,0.49123862385749817
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1400,stats/masked_frac,0.3851776123046875
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1400,time/hrs,0.24860026094648574
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1400,loss/total,0.0303324144333601
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1400,debug/z_std,0.9933714866638184
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1400,loss/mse,0.00811484083533287
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1400,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1400,stats/psnr,20.90719985961914
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1400,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1400,loss/lpips,0.111087866127491
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1400,stats/keep_prob,0.6129821538925171
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1500,stats/masked_frac,0.4537200927734375
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1500,time/hrs,0.26630824201636843
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1500,loss/total,0.028595488518476486
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1500,debug/z_std,0.9801004528999329
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1500,loss/mse,0.008783538825809956
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1500,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1500,stats/psnr,20.563304901123047
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1500,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1500,loss/lpips,0.09905974566936493
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1500,stats/keep_prob,0.54524165391922
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1600,stats/masked_frac,0.4502105712890625
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1600,time/hrs,0.2840890183051427
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1600,loss/total,0.029074031859636307
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1600,debug/z_std,0.9923734664916992
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1600,loss/mse,0.008181230165064335
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1600,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1600,stats/psnr,20.871814727783203
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1600,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1600,loss/lpips,0.10446400940418243
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1600,stats/keep_prob,0.5520063042640686
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1700,stats/masked_frac,0.41796875
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1700,time/hrs,0.30180017193158465
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1700,loss/total,0.02849089354276657
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1700,debug/z_std,0.9884340763092041
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1700,loss/mse,0.007940501905977726
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1700,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1700,stats/psnr,21.00152015686035
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1700,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1700,loss/lpips,0.1027519553899765
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1700,stats/keep_prob,0.5841126441955566
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1800,stats/masked_frac,0.4339599609375
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1800,time/hrs,0.3195182306898965
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1800,loss/total,0.026627548038959503
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1800,debug/z_std,0.9824545383453369
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1800,loss/mse,0.00759204663336277
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1800,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1800,stats/psnr,21.1964111328125
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1800,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1800,loss/lpips,0.09517750144004822
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1800,stats/keep_prob,0.5630127191543579
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1900,stats/masked_frac,0.4227447509765625
